DEPT,PREVIOUS_LINK_SUM,CURRENT_LINK_SUM,CHANGE_SUMMARY
STATE_SUBPAGES_REPORT,332,333,+1 LINKS
TSA_SUBPAGES_REPORT,133,132,-1 LINKS
LIBRARY_OF_CONGRESS_SUBPAGES_REPORT,95,93,-2 LINKS
HEALTH_AND_HUMAN_SERVICES_SUBPAGES_REPORT,0,0,NO CHANGE
WHITE_HOUSE_SUBPAGES_REPORT,95,95,NO CHANGE
VETERANS_AFFAIRS_SUBPAGES_REPORT,41,41,NO CHANGE
NATIONAL_SCIENCE_FOUNDATION_SUBPAGES_REPORT,90,90,NO CHANGE
DHS_SUBPAGES_REPORT,54,54,NO CHANGE
IRS_SUBPAGES_REPORT,137,137,NO CHANGE
SOCIAL_SECURITY_ADMINISTRATION_SUBPAGES_REPORT,91,91,NO CHANGE
CDC_SUBPAGES_REPORT,135,135,NO CHANGE
DEFENSE_SUBPAGES_REPORT,0,0,NO CHANGE
DEPARTMENT_OF_EDUCATION_SUBPAGES_REPORT,118,118,NO CHANGE
US_NAVY_SUBPAGES_REPORT,0,0,NO CHANGE
SECURITIES_AND_EXCHANGE_COMMISSION_SUBPAGES_REPORT,2,2,NO CHANGE
US_AIR_FORCE_SUBPAGES_REPORT,0,0,NO CHANGE
CIA_SUBPAGES_REPORT,0,0,NO CHANGE
FEMA_SUBPAGES_REPORT,170,170,NO CHANGE
FEDERAL_RESERVE_SUBPAGES_REPORT,227,227,NO CHANGE
SMALL_BUSINESS_ADMINISTRATION_SUBPAGES_REPORT,182,182,NO CHANGE
ENVIRONMENTAL_PROTECTION_AGENCY_SUBPAGES_REPORT,81,81,NO CHANGE
JUSTICE_SUBPAGES_REPORT,62,62,NO CHANGE
NATIONAL_INSTITUTES_OF_HEALTH_SUBPAGES_REPORT,77,77,NO CHANGE
USA_SUBPAGES_REPORT,41,41,NO CHANGE
US_GEOLOGICAL_SURVEY_SUBPAGES_REPORT,146,146,NO CHANGE
FBI_SUBPAGES_REPORT,75,75,NO CHANGE
DEPARTMENT_OF_THE_TREASURY_SUBPAGES_REPORT,229,229,NO CHANGE
US_ARMY_SUBPAGES_REPORT,74,74,NO CHANGE
DOGE_SUBPAGES_REPORT,7,7,NO CHANGE
US_CITIZENSHIP_AND_IMMIGRATION_SERVICES_SUBPAGES_REPORT,133,133,NO CHANGE
